Exercise,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms,Grip,Load Position (Ending),Foot Elevation,Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Primary Exercise Classification,foundationalScore,exerciseTier,isFoundational,classificationTags
Superband Assisted Nordic Hamstring Curl,Video Demonstration,,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,,Superband,1.0,None,0,Tall Kneeling,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Pull,Compound,Bilateral,Unsorted*,73,2,False,"compound,intermediate,lower-body,superband"
Double Kettlebell Bottoms Up Turkish Sit Up to Z Press,,,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell,2.0,None,0,Seated Floor,Double Arm,Continuous,Bottoms Up,Overhead,No Elevation,Combo Exercise,Spinal Flexion,Vertical Push,,Sagittal Plane,,,Midsection,Push,Compound,Bilateral,Bodybuilding,73,2,False,"compound,intermediate,kettlebell,midsection"
Bodyweight Alternating Shin Box Hip Extension,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,,,Bodyweight,1.0,None,0,Shin Box Seated,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Hip Extension,,,Transverse Plane,,,Lower Body,Unsorted*,Compound,Unilateral,Mobility,80,2,False,"bodyweight,compound,intermediate,lower-body"
Single Arm Kettlebell Turkish Sit Up to Z Press,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell,1.0,None,0,Seated Floor,Single Arm,Continuous,Pronated,Overhead,No Elevation,Combo Exercise,Spinal Flexion,Vertical Push,,Sagittal Plane,,,Midsection,Push,Compound,Unilateral,Bodybuilding,70,2,False,"compound,intermediate,kettlebell,midsection"
Single Arm Kettlebell Bottoms Up Turkish Sit Up to Z Press,,,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell,1.0,None,0,Seated Floor,Single Arm,Continuous,Bottoms Up,Overhead,No Elevation,Combo Exercise,Spinal Flexion,Vertical Push,,Sagittal Plane,,,Midsection,Push,Compound,Unilateral,Bodybuilding,70,2,False,"compound,intermediate,kettlebell,midsection"
Alternating Double Kettlebell Rotational Overhead Press,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,,,Kettlebell,2.0,None,0,Standing,Double Arm,Alternating,Neutral,Overhead,No Elevation,Single Exercise,Rotational,Vertical Push,,Transverse Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding,73,2,False,"compound,kettlebell,novice,upper-body"
Double Kettlebell Clean to Alternating Rotational Overhead Press,,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,2.0,None,0,Standing,Double Arm,Alternating,Neutral,Overhead,No Elevation,Combo Exercise,Rotational,Vertical Push,,Transverse Plane,,,Full Body,Unsorted*,Compound,Unilateral,Unsorted*,77,2,False,"compound,full-body,intermediate,kettlebell"
Single Arm Kettlebell Rotational Thruster,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,,,Kettlebell,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Rotational,Vertical Push,,Transverse Plane,,,Full Body,Push,Compound,Unilateral,Bodybuilding,75,2,False,"compound,full-body,kettlebell,novice"
Alternating Single Arm Kettlebell Clean to Rotational Thruster,,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,1.0,None,0,Standing,Single Arm,Alternating,Neutral,Overhead,No Elevation,Combo Exercise,Rotational,Vertical Push,Hip Hinge,Transverse Plane,Sagittal Plane,,Full Body,Unsorted*,Compound,Unilateral,Unsorted*,77,2,False,"compound,full-body,intermediate,kettlebell"
Double Kettlebell Bottoms Up Front Rack Low Switch Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Bottoms Up,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,65,2,False,"advanced,compound,kettlebell,lower-body"
Alternating Single Arm Kettlebell Clean to Rotational Overhead Press,,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,1.0,None,0,Standing,Single Arm,Alternating,Neutral,Overhead,No Elevation,Combo Exercise,Rotational,Vertical Push,,Transverse Plane,,,Full Body,Unsorted*,Compound,Unilateral,Unsorted*,77,2,False,"compound,full-body,intermediate,kettlebell"
Alternating Single Arm Kettlebell Bottoms Up Clean to Rotational Overhead Press,,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,1.0,None,0,Standing,Single Arm,Alternating,Bottoms Up,Overhead,No Elevation,Combo Exercise,Rotational,Vertical Push,,Transverse Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics,77,2,False,"compound,full-body,intermediate,kettlebell"
Double Kettlebell Bottoms Up Clean to Alternating Rotational Overhead Press,,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,2.0,None,0,Standing,Double Arm,Alternating,Bottoms Up,Overhead,No Elevation,Combo Exercise,Rotational,Vertical Push,,Transverse Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics,77,2,False,"compound,full-body,intermediate,kettlebell"
Double Kettlebell Bottoms Up Dead Clean,,,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Bottoms Up,Front Rack,No Elevation,Single Exercise,Hip Hinge,Hip Hinge,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Unsorted*,85,2,False,"compound,full-body,intermediate,kettlebell"
Single Arm Dumbbell Suitcase Carry,Video Demonstration,,Beginner,Forearms,Brachioradialis,,,Dumbbell,1.0,None,0,Walking,Single Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Loaded Carry,Anti-Lateral Flexion,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,Unsorted*,97,1,True,"beginner,big-5,compound,dumbbell,full-body"
Double Dumbbell Glute Bridge Isometric Bench Press,Video Demonstration,,Novice,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Dumbbell,2.0,Bench (Flat),1,Bridge,Double Arm,Continuous,Pronated,Above Chest,No Elevation,Single Exercise,Horizontal Push,Isometric Hold,,Sagittal Plane,,,Full Body,Push,Compound,Bilateral,Bodybuilding,93,1,True,"big-5,compound,dumbbell,full-body,novice"
Double Kettlebell Bottoms Up Dead Clean to Overhead Press,,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Bottoms Up,Overhead,No Elevation,Combo Exercise,Vertical Push,Hip Hinge,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Unsorted*,85,2,False,"compound,full-body,intermediate,kettlebell"
Double Kettlebell Bottoms Up Dead Clean to Thruster,,,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Bottoms Up,Overhead,No Elevation,Combo Exercise,Vertical Push,Knee Dominant,Hip Hinge,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Unsorted*,85,2,False,"compound,full-body,intermediate,kettlebell"
Bodyweight Foot Elevated Cossack Squat,Video Demonstration,,Beginner,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Bodyweight,1.0,None,0,Standing,No Arms,Continuous,No Grip,No Load,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,85,2,False,"beginner,bodyweight,compound,lower-body"
Double Kettlebell Bottoms Up Dead Clean to Alternating Rotational Overhead Press,,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,2.0,None,0,Standing,Double Arm,Alternating,Bottoms Up,Overhead,No Elevation,Combo Exercise,Rotational,Vertical Push,Knee Dominant,Transverse Plane,,,Full Body,Unsorted*,Compound,Unilateral,Unsorted*,77,2,False,"compound,full-body,intermediate,kettlebell"
Barbell Overhead Foot Elevated Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Barbell,1.0,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,75,2,False,"advanced,barbell,compound,lower-body"
Landmine Split Squat Isometric Oblique Twist,,,Advanced,Abdominals,Obliques,,,Landmine,1.0,None,0,Split Squat Isometric,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Balance,68,2,False,"advanced,compound,landmine,midsection"
Double Kettlebell Bottoms Up Dead Clean to Alternating Rotational Thruster,,,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Kettlebell,2.0,None,0,Standing,Double Arm,Alternating,Bottoms Up,Overhead,No Elevation,Combo Exercise,Rotational,Vertical Push,Knee Dominant,Transverse Plane,,,Full Body,Unsorted*,Compound,Unilateral,Unsorted*,77,2,False,"compound,full-body,intermediate,kettlebell"
Barbell Back Rack Foot Elevated Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Barbell,1.0,None,0,Standing,Double Arm,Continuous,Pronated,Back Rack,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,75,2,False,"advanced,barbell,compound,lower-body"
Barbell Front Rack Foot Elevated Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Barbell,1.0,None,0,Standing,Double Arm,Continuous,Pronated,Front Rack,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,75,2,False,"advanced,barbell,compound,lower-body"
Cable V Grip Seated Floor Lat Pulldown,Video Demonstration,,Beginner,Back,Latissimus Dorsi,Biceps Brachii,,Cable,1.0,None,0,Seated Floor,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Bodybuilding,88,2,False,"beginner,cable,compound,upper-body"
Barbell Overhead Low Switch Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Barbell,1.0,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,75,2,False,"advanced,barbell,compound,lower-body"
Double Kettlebell Dead Clean to Alternating Rotational Overhead Press,,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,2.0,None,0,Standing,Double Arm,Alternating,Neutral,Overhead,No Elevation,Combo Exercise,Rotational,Vertical Push,,Transverse Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics,77,2,False,"compound,full-body,intermediate,kettlebell"
Double Kettlebell Dead Clean to Alternating Rotational Thruster,,,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Kettlebell,2.0,None,0,Standing,Double Arm,Alternating,Neutral,Overhead,No Elevation,Combo Exercise,Rotational,Vertical Push,Knee Dominant,Transverse Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics,77,2,False,"compound,full-body,intermediate,kettlebell"
Double Kettlebell Windmill,Video Demonstration,Video Explanation,Advanced,Abdominals,Obliques,Rectus Abdominis,,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,Grinds,70,2,False,"advanced,compound,kettlebell,midsection"
Double Kettlebell Dragon Flag,Video Demonstration,Video Explanation,Expert,Abdominals,Rectus Abdominis,,,Kettlebell,2.0,None,0,Supine,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,76,2,False,"compound,expert,kettlebell,midsection"
Alternating Double Kettlebell Push Press,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2.0,None,0,Standing,Double Arm,Alternating,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Unsorted*,78,2,False,"compound,kettlebell,novice,upper-body"
Double Kettlebell Front Rack 90/90 Hip Shift to Alternating Overhead Press,,,Advanced,Shoulders,Anterior Deltoids,,,Kettlebell,2.0,None,0,90/90 Seated,Double Arm,Alternating,Pronated,Overhead,No Elevation,Combo Exercise,Vertical Push,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Unsorted*,77,2,False,"advanced,compound,full-body,kettlebell"
Kettlebell Dead Bug,Video Demonstration,,Novice,Abdominals,Rectus Abdominis,,,Kettlebell,1.0,None,0,Supine,Double Arm,Continuous,Goblet,Other,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,71,2,False,"compound,kettlebell,midsection,novice"
Battle Rope Split Squat Isometric Alternating Side Slam,,,Advanced,Abdominals,Obliques,Rectus Abdominis,Quadriceps Femoris,Battle Ropes,1.0,None,0,Split Squat Isometric,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Balance,68,2,False,"advanced,battle-ropes,compound,midsection"
Superband Standing Adduction,Video Demonstration,,Novice,Adductors,Adductor Magnus,,,Superband,1.0,None,0,Standing,No Arms,Continuous,Hand Assisted,No Load,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Unsorted*,68,2,False,"compound,lower-body,novice,superband"
Superband Lateral Step Adduction,Video Demonstration,,Novice,Adductors,Adductor Magnus,,,Superband,1.0,None,0,Standing,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Unsorted*,68,2,False,"compound,lower-body,novice,superband"
Double Kettlebell Bottoms Up Front Rack Walking Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2.0,None,0,Walking,Double Arm,Continuous,Bottoms Up,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,70,2,False,"compound,intermediate,kettlebell,lower-body"
Kettlebell Dead Clean to Horn Grip Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1.0,None,0,Standing,Double Arm,Continuous,Horn Grip,Front Rack,No Elevation,Combo Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Ballistics,71,2,False,"compound,kettlebell,lower-body,novice"
Double Kettlebell Bottoms Up Front Rack March,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell,2.0,None,0,March,Double Arm,Continuous,Bottoms Up,Front Rack,No Elevation,Single Exercise,,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Balance,73,2,False,"compound,intermediate,kettlebell,midsection"
Double Kettlebell Bottoms Up Overhead March,,,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell,2.0,None,0,March,Double Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Balance,73,2,False,"compound,intermediate,kettlebell,midsection"
Suspension Alternating Cossack Squat,Video Demonstration,Video Explanation,Beginner,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Suspension Trainer,1.0,None,0,Standing,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,65,2,False,"beginner,compound,lower-body,suspension-trainer"
Battle Rope Single Leg Standing Alternating Wave,Video Demonstration,Video Explanation,Intermediate,Biceps,Biceps Brachii,,,Battle Ropes,1.0,None,0,Single Leg Standing,Double Arm,Alternating,Neutral,Other,No Elevation,Single Exercise,,,,Sagittal Plane,,,Upper Body,Other,Compound,Unilateral,Balance,68,2,False,"battle-ropes,compound,intermediate,upper-body"
Battle Rope Alternating Wave,Video Demonstration,,Beginner,Biceps,Biceps Brachii,,,Battle Ropes,1.0,None,0,Standing,Double Arm,Alternating,Neutral,Other,No Elevation,Single Exercise,,,,Sagittal Plane,,,Upper Body,Other,Compound,Unilateral,Unsorted*,73,2,False,"battle-ropes,beginner,compound,upper-body"
Battle Rope Split Squat Isometric Alternating Wave,,,Advanced,Biceps,Biceps Brachii,Quadriceps Femoris,,Battle Ropes,1.0,None,0,Split Squat Isometric,Double Arm,Alternating,Neutral,Other,No Elevation,Single Exercise,,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,Balance,68,2,False,"advanced,battle-ropes,compound,full-body"
Superband Assisted Dips,Video Demonstration,Video Explanation,Intermediate,Chest,Pectoralis Major,Triceps Brachii,,Superband,1.0,None,0,Other,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics,83,2,False,"compound,intermediate,superband,upper-body"
Cable Tall Kneeling Face Pull,,Video Explanation,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Cable,1.0,None,0,Tall Kneeling,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Shoulder External Rotation,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Unsorted*,76,2,False,"cable,compound,novice,upper-body"
Suspension Split Squat,Video Demonstration,,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Suspension Trainer,1.0,None,0,Split Squat,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,65,2,False,"beginner,compound,lower-body,suspension-trainer"
Single Arm Kettlebell Tactical Clean,Video Demonstration,,Advanced,Glutes,Gluteus Maximus,,,Kettlebell,1.0,None,0,Standing,Single Arm,Alternating,Neutral,Front Rack,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics,77,2,False,"advanced,compound,full-body,kettlebell"
Suspension Cyclist Squat,Video Demonstration,Video Explanation,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Suspension Trainer,1.0,Slant Board,1,Standing,Double Arm,Continuous,Neutral,No Load,Heels Elevated,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding,68,2,False,"beginner,compound,lower-body,suspension-trainer"
Cable Rope Tall Kneeling Tricep Pushdown,Video Demonstration,,Beginner,Triceps,Triceps Brachii ,,,Cable,1.0,None,0,Tall Kneeling,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Elbow Extension,,,Sagittal Plane,,,Upper Body,Push,Isolation,Bilateral,Bodybuilding,68,2,False,"beginner,cable,isolation,upper-body"
Single Arm Suspension Contralateral Skater Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Suspension Trainer,1.0,None,0,Single Leg Standing,Single Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Balance,58,3,False,"compound,intermediate,lower-body,suspension-trainer"
Alternating Single Arm Kettlebell Ballistic Row,Video Demonstration,,Intermediate,Back,Latissimus Dorsi,Biceps Brachii,,Kettlebell,1.0,None,0,Standing,Single Arm,Alternating,Neutral,Other,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Ballistics,80,2,False,"compound,intermediate,kettlebell,upper-body"
Double Kettlebell Front Rack Pivot Split Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,,,Kettlebell,2.0,None,0,Split Squat,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Rotational,Knee Dominant,,Transverse Plane,,,Lower Body,Push,Compound,Unilateral,Unsorted*,75,2,False,"compound,intermediate,kettlebell,lower-body"
Double Kettlebell Bottoms Up Front Rack Pivot Split Squat,,,Advanced,Quadriceps,Quadriceps Femoris,,,Kettlebell,2.0,None,0,Split Squat,Double Arm,Continuous,Bottoms Up,Front Rack,No Elevation,Single Exercise,Rotational,Knee Dominant,,Transverse Plane,,,Lower Body,Push,Compound,Unilateral,Unsorted*,70,2,False,"advanced,compound,kettlebell,lower-body"
Double Kettlebell Bottoms Up Overhead Pivot Split Squat,,,Advanced,Quadriceps,Quadriceps Femoris,,,Kettlebell,2.0,None,0,Split Squat,Double Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,Rotational,Knee Dominant,,Transverse Plane,,,Lower Body,Push,Compound,Unilateral,Unsorted*,70,2,False,"advanced,compound,kettlebell,lower-body"
Bodyweight Cyclist Squat,Video Demonstration,Video Explanation,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,1.0,Slant Board,1,Standing,No Arms,Continuous,No Grip,No Load,Heels Elevated,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding,88,2,False,"beginner,bodyweight,compound,lower-body"
Kettlebell Half Kneeling Rotational Swing,Video Demonstration,,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Kettlebell,1.0,None,0,Half Kneeling,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Unilateral,Ballistics,77,2,False,"compound,full-body,intermediate,kettlebell"
Double Kettlebell Clean to Push Jerk,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Minimus,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Combo Exercise,Vertical Push,Hip Hinge,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics,85,2,False,"compound,full-body,intermediate,kettlebell"
Alternating Single Arm Kettlebell Clean to Push Jerk,,,Novice,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,1.0,None,0,Standing,Single Arm,Alternating,Pronated,Overhead,No Elevation,Combo Exercise,Vertical Push,Hip Hinge,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics,80,2,False,"compound,full-body,kettlebell,novice"
Kettlebell Split Squat Isometric Low to High Chop,Video Demonstration,,Advanced,Abdominals,Obliques,Rectus Abdominis,,Kettlebell,1.0,None,0,Split Squat Isometric,Double Arm,Continuous,Bottoms Up Horn Grip,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,Balance,70,2,False,"advanced,compound,kettlebell,midsection"
Kettlebell Split Squat Isometric Alternating Halo,,,Advanced,Shoulders,Posterior Deltoids,Medial Deltoids,,Kettlebell,1.0,None,0,Split Squat Isometric,Double Arm,Continuous,Bottoms Up Horn Grip,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Unsorted*,Pull,Compound,Unilateral,Balance,67,2,False,"advanced,compound,kettlebell,unsorted*"
Double Kettlebell Front Rack March,Video Demonstration,,Novice,Abdominals,Rectus Abdominis,,,Kettlebell,2.0,None,0,March,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Balance,71,2,False,"compound,kettlebell,midsection,novice"
Double Kettlebell Suitcase March,Video Demonstration,,Novice,Abdominals,Rectus Abdominis,,,Kettlebell,2.0,None,0,March,Double Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Balance,71,2,False,"compound,kettlebell,midsection,novice"
Single Arm Kettlebell Rotational Snatch,Video Demonstration,,Advanced,Shoulders,Anterior Deltoids,Obliques,Gluteus Maximus,Kettlebell,1.0,None,0,Standing,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics,72,2,False,"advanced,compound,full-body,kettlebell"
Single Arm Kettlebell Contralateral Staggered Stance Romanian Deadlift,Video Demonstration,,Novice,Hamstrings,Biceps Femoris,Gluteus Maximus,,Kettlebell,1.0,None,0,Staggered Stance,Single Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Pull,Compound,Contralateral,Bodybuilding,76,2,False,"compound,kettlebell,lower-body,novice"
Double Kettlebell Dead Clean to Front Rack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Combo Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Ballistics,73,2,False,"compound,intermediate,kettlebell,lower-body"
Double Kettlebell Front Rack Alternating Shin Box Hip Extension to Overhead Press,,,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2.0,None,0,Shin Box Seated,Double Arm,Continuous,Pronated,Overhead,No Elevation,Combo Exercise,Vertical Push,Hip Extension,,Transverse Plane,,,Full Body,Unsorted*,Compound,Bilateral,Unsorted*,80,2,False,"advanced,compound,full-body,kettlebell"
Double Kettlebell Overhead Alternating Shin Box Hip Extension,,,Advanced,Glutes,Gluteus Maximus,,,Kettlebell,2.0,None,0,Shin Box Seated,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Hip Extension,,,Transverse Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Mobility,68,2,False,"advanced,compound,kettlebell,lower-body"
Double Kettlebell Bottoms Up Turkish Get Up,,,Expert,Abdominals,Obliques,Rectus Abdominis,,Kettlebell,2.0,None,0,Supine,Double Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,Rotational,,,Transverse Plane,Sagittal Plane,,Full Body,Other,Compound,Bilateral,Grinds,78,2,False,"compound,expert,full-body,kettlebell"
Slider Single Leg Hamstring Curl,Video Demonstration,,Advanced,Hamstrings,Biceps Femoris,Gluteus Maximus,,Sliders,1.0,None,0,Supine,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Pull,Isolation,Unilateral,Unsorted*,45,3,False,"advanced,isolation,lower-body,sliders"
Kettlebell Staggered Stance Rotational Swing,Video Demonstration,,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Kettlebell,1.0,None,0,Staggered Stance,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Bilateral,Unsorted*,80,2,False,"compound,full-body,intermediate,kettlebell"
