Exercise,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Load Position (Ending),Foot Elevation,Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Primary Exercise Classification
Single Arm Clubbell Reverse Mill,Video Demonstration,Video Explanation,Intermediate,Shoulders,Posterior Deltoids,Gluteus Maximus,Obliques,Clubbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Behind Back,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Unilateral,Ballistics
Bulgarian Bag Spin,Video Demonstration,Video Explanation,Advanced,Shoulders,Posterior Deltoids,Obliques,,Bulgarian Bag,1,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Bilateral,Unsorted*
Bulgarian Bag Alternating Spin,Video Demonstration,,Advanced,Shoulders,Posterior Deltoids,Obliques,,Bulgarian Bag,1,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Bilateral,Unsorted*
Bulgarian Bag Alternating Spin to Side Swing Squat,Video Demonstration,,Advanced,Shoulders,Posterior Deltoids,Obliques,Quadriceps Femoris,Bulgarian Bag,1,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,No Elevation,Combo Exercise,Rotational,,,Transverse Plane,,,Full Body,Unsorted*,Compound,Bilateral,Unsorted*
Bulgarian Bag Swipe,Video Demonstration,,Intermediate,Glutes,Posterior Deltoids,,,Bulgarian Bag,1,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Unsorted*
Bulgarian Bag Snatch,Video Demonstration,Video Explanation,Intermediate,Glutes,Gluteus Maximus,,,Bulgarian Bag,1,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
Bulgarian Bag Alternating Rotational Snatch,,,Advanced,Shoulders,Anterior Deltoids,Obliques,Gluteus Maximus,Bulgarian Bag,1,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
Bulgarian Bag Alternating Side Swing Squat,Video Demonstration,,Advanced,Abdominals,Obliques,Quadriceps Femoris,,Bulgarian Bag,1,None,0,Standing,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,Frontal Plane,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
Bulgarian Bag Dead Clean,,Video Explanation,Intermediate,Glutes,Gluteus Maximus,,,Bulgarian Bag,1,None,0,Standing,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
Bulgarian Bag Swing,Video Demonstration,,Novice,Glutes,Gluteus Maximus,,,Bulgarian Bag,1,None,0,Standing,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
Bulgarian Bag Front Rack Squat,Video Demonstration,,Novice,Quadriceps,Gluteus Maximus,,,Bulgarian Bag,1,None,0,Standing,Double Arm,Continuous,Supinated,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Unsorted*
Bulgarian Bag Back Rack Squat,Video Demonstration,Video Explanation,Novice,Quadriceps,Gluteus Maximus,,,Bulgarian Bag,1,None,0,Standing,Double Arm,Continuous,Neutral,Back Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Unsorted*
Bulgarian Bag Swing Squat,Video Demonstration,Video Explanation,Advanced,Glutes,Gluteus Maximus,Quadriceps Femoris,,Bulgarian Bag,1,None,0,Standing,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Hip Hinge,Knee Dominant,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Unsorted*
Bulgarian Bag Alternating Forward Lunge with Rotation,,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Obliques,,Bulgarian Bag,1,None,0,Standing,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Knee Dominant,Rotational,,Transverse Plane,,,Full Body,Push,Compound,Unilateral,Unsorted*
Clubbell Tall Kneeling Gamma Cast,,,Intermediate,Shoulders,Posterior Deltoids,Rectus Abdominis,,Clubbell,1,None,0,Tall Kneeling,Double Arm,Continuous,Neutral,Behind Back,No Elevation,Single Exercise,Rotational,,,Transverse Plane,Frontal Plane,,Upper Body,Pull,Compound,Bilateral,Unsorted*
Clubbell Tall Kneeling Shield Cast,,,Intermediate,Shoulders,Posterior Deltoids,Rectus Abdominis,,Clubbell,1,None,0,Tall Kneeling,Double Arm,Continuous,Neutral,Behind Back,No Elevation,Single Exercise,Rotational,,,Transverse Plane,Frontal Plane,,Upper Body,Pull,Compound,Bilateral,Ballistics
Single Arm Clubbell Tall Kneeling Shield Cast,,,Intermediate,Shoulders,Posterior Deltoids,Rectus Abdominis,,Clubbell,1,None,0,Tall Kneeling,Double Arm,Continuous,Neutral,Behind Back,No Elevation,Single Exercise,Rotational,,,Transverse Plane,Frontal Plane,,Upper Body,Pull,Compound,Bilateral,Ballistics
Double Clubbell Swipe to Alternating Shield Cast,,,Advanced,Shoulders,Posterior Deltoids,Gluteus Maximus,,Clubbell,2,None,0,Standing,Double Arm,Alternating,Neutral,Behind Back,No Elevation,Combo Exercise,Rotational,Hip Hinge,,Transverse Plane,Frontal Plane,Sagittal Plane,Full Body,Pull,Compound,Unilateral,Ballistics
Double Clubbell Order Cyclist Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell,2,Slant Board,1,Standing,Double Arm,Continuous,Neutral,Order,Heels Elevated,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
Single Arm Clubbell Order Cyclist Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell,1,Slant Board,1,Standing,Single Arm,Continuous,Neutral,Order,Heels Elevated,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
Single Arm Clubbell Mill,Video Demonstration,Video Explanation,Intermediate,Shoulders,Posterior Deltoids,Gluteus Maximus,Obliques,Clubbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Behind Back,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Unilateral,Ballistics
Double Clubbell Mill,Video Demonstration,,Intermediate,Shoulders,Posterior Deltoids,Gluteus Maximus,Obliques,Clubbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Behind Back,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Bilateral,Ballistics
Single Arm Cable Reverse Grip Bicep Curl,Video Demonstration,,Novice,Forearms,Brachioradialis,Biceps Brachii,Brachialis,Cable,1,None,0,Standing,Single Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
Dumbbell Goblet Low Switch Cossack Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,1,None,0,Standing,Double Arm,Continuous,Goblet,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Clean to Alternating Thruster,,,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Kettlebell,2,None,0,Standing,Double Arm,Alternating,Pronated,Overhead,No Elevation,Combo Exercise,Vertical Push,Knee Dominant,Hip Hinge,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Unsorted*
Double Kettlebell Clean to Alternating Overhead Press,,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,2,None,0,Standing,Double Arm,Alternating,Pronated,Overhead,No Elevation,Combo Exercise,Vertical Push,Hip Hinge,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Unsorted*
Double Kettlebell Bottoms Up Clean to Thruster,,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Bottoms Up,Overhead,No Elevation,Combo Exercise,Vertical Push,Hip Hinge,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Unsorted*
Double Kettlebell Bottoms Up Clean to Alternating Thruster,,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,2,None,0,Standing,Double Arm,Alternating,Bottoms Up,Overhead,No Elevation,Combo Exercise,Vertical Push,Hip Hinge,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Unsorted*
Double Kettlebell Bottoms Up Clean to Alternating Overhead Press,,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Minimus,Kettlebell,2,None,0,Standing,Double Arm,Alternating,Bottoms Up,Overhead,No Elevation,Combo Exercise,Vertical Push,Hip Hinge,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Unsorted*
Double Kettlebell Clean to Split Jerk,,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Combo Exercise,Vertical Push,Hip Hinge,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
Double Kettlebell Bottoms Up Clean to Split Jerk,,,Advanced,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Bottoms Up,Overhead,No Elevation,Combo Exercise,Vertical Push,Hip Hinge,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
Double Dumbbell Front Rack Cossack Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Overhead Alternating Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Overhead Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Low Hold Alternating Cossack Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Low Hold,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Low Hold Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Low Hold,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Clean to Split Jerk,,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Pronated,Overhead,No Elevation,Combo Exercise,Vertical Push,Hip Hinge,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
Alternating Single Arm Kettlebell Clean to Split Jerk,,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,1,None,0,Standing,Single Arm,Alternating,Pronated,Overhead,No Elevation,Combo Exercise,Vertical Push,Hip Hinge,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
Suspension Low Switch Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Suspension Trainer,1,None,0,Standing,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Suspension Cossack Squat,Video Demonstration,,Beginner,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Suspension Trainer,1,None,0,Standing,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Suspension Alternating Cossack Squat,,,Beginner,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Suspension Trainer,1,None,0,Standing,Single Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Suspension Contralateral Cossack Squat,,,Beginner,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Suspension Trainer,1,None,0,Standing,Single Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Suspension Low Switch Cossack Squat,,,Beginner,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Suspension Trainer,1,None,0,Standing,Single Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Suspension Foot Elevated Cossack Squat,,,Beginner,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Suspension Trainer,1,None,0,Standing,Double Arm,Continuous,Neutral,No Load,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Suspension Foot Elevated Contralateral Cossack Squat,,,Beginner,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Suspension Trainer,1,None,0,Standing,Single Arm,Continuous,Neutral,No Load,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Barbell Overhead Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Front Rack Low Switch Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Back Rack Low Switch Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Back Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Back Rack Cossack Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Back Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Front Rack Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Landmine Goblet Cossack Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Landmine,1,None,0,Standing,Double Arm,Continuous,Goblet,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Landmine Goblet Low Switch Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Landmine,1,None,0,Standing,Double Arm,Continuous,Goblet,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Landmine Goblet Foot Elevated Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Landmine,1,None,0,Standing,Double Arm,Continuous,Goblet,Front Rack,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Landmine Low Hold Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Landmine,1,None,0,Standing,Double Arm,Continuous,Neutral,Low Hold,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Landmine Low Hold Low Switch Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Landmine,1,None,0,Standing,Double Arm,Continuous,Neutral,Low Hold,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Landmine Low Hold Foot Elevated Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Landmine,1,None,0,Standing,Double Arm,Continuous,Neutral,Low Hold,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Dumbbell Goblet Cossack Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,1,None,0,Standing,Double Arm,Continuous,Goblet,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Dumbbell Front Rack Contralateral Cossack Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Double Dumbbell Overhead Low Switch Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Overhead Foot Elevated Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Front Rack Low Switch Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Front Rack Foot Elevated Cossack Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Front Rack,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Dumbbell Front Rack Alternating Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Dumbbell Front Rack Low Switch Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Dumbbell Low Hold Cossack Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,1,None,0,Standing,Double Arm,Continuous,Neutral,Low Hold,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Dumbbell Low Hold Alternating Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,1,None,0,Standing,Double Arm,Continuous,Neutral,Low Hold,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Low Hold Low Switch Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Low Hold,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Low Hold Foot Elevated Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Low Hold,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Dumbbell Low Hold Low Switch Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,1,None,0,Standing,Double Arm,Continuous,Neutral,Low Hold,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Dumbbell Low Hold Foot Elevated Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,1,None,0,Standing,Double Arm,Continuous,Neutral,Low Hold,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Dumbbell Overhead Contralateral Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Dumbbell Overhead Ipsilateral Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Clean to Split Jerk,,,Advanced,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Bottoms Up,Overhead,No Elevation,Combo Exercise,Vertical Push,Hip Hinge,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
Alternating Single Arm Kettlebell Bottoms Up Clean to Split Jerk,,,Advanced,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,1,None,0,Standing,Single Arm,Alternating,Bottoms Up,Overhead,No Elevation,Combo Exercise,Vertical Push,Hip Hinge,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
Double Kettlebell Bottoms Up Split Jerk,,,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Minimus,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,Vertical Push,Hip Hinge,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,Unsorted*
Clubbell Order Alternating Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1,None,0,Standing,Double Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Clubbell Order Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1,None,0,Standing,Double Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Clubbell Order Low Switch Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1,None,0,Standing,Double Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Clubbell Order Foot Elevated Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1,None,0,Standing,Double Arm,Continuous,Neutral,Order,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Clubbell Order Alternating Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Clubbell Order Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Clubbell Order Low Switch Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
